,,,,,,,,,,,,,,,,,,
,,1-Blocker (Blocking progress on the project within next week),,,,,,,,,,,,,,,,
,,2-Critical (Critical to go-live and our path to completion),,,,,,,,,,,,,,,,
,,3-High(Impacting our path to go-live but able to work around or deal),,,,,,,,,,,,,,,,
,,4-Low (No impact to path to completion),,,,,,,,,,,,,,,,
,,5- NTH (Nice to Have),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
CATEGORY,DESCRIPTION,TYPE,STATUS,TEAM ,OWNER,SEVERITY,PRIORITY,UAT Critical?,Go Live Critical?,Needs to be on GERBER Jira?,Hours Estimate,DUE DATE,Comments,STEPS TO REPRODUCE,EXPECTED RESULT ,ACTUAL RESULT ,ETA,LINK TASK
Design,Synthesizing design conversations and notes into master design document,Task,Completed,DEP,JM,Blocker,1,FALSE,FALSE,FALSE,,,,,,,,
Design,Review Design document between Deposco and Mini teams and sign off,Discussion,Completed,DEP/Gerber,Gerber Team,Critical,1,FALSE,FALSE,FALSE,,,,,,,,
Hardware / Physical,"Hardware Procument: Printers, tablets, scanners etc",Task,Closed,Gerber,Gerber Team,Critical,2,FALSE,FALSE,TRUE,,,,,,,,
Hardware / Physical,Setup for printer config - Deposco shared printer config file per facility,Task,In Progress,Gerber,Lily,High,2,FALSE,FALSE,TRUE,,5/15/2025,"4/29 [GERBER] Lily and Randy support from Gerber side
4/30 [DEP] Resent printer config info
5/8/25 [GERBER] Need support from Calyx (DEP) for setup. Not printing currently even with configuration complete.
5/14 [DEP] Call with Lily and Michael completed to help with setup.
5/14 [GERBER/DEP] Can use template to upload multiple printers. There are 100-200 printers to setup. JM to send email with template to Lilly, Michael, and Donna
5/29 [GERBER] Still completing setup for large number of printers, but some printers setup.",,,,,
