System,Tasks/Touchpoints,Status,Go-Live Critical?,Current Team Owner,Owner,Due Date,Notes
SAP (Daily Import/Exports),Customer Order - Inbound,In Progress,TRUE,GERBER,Beth/Bob,,
,Purchase Order - Inbound,"Passed Connection Testing, Further Testing Required",TRUE,GERBER,Beth/Bob,,
,ASN (Inbound Shipment),Testing in Progress,TRUE,GERBER,Beth/Bob,,
,Return Authorization,Testing in Progress,TRUE,GERBER,Beth/Bob,,
,Ship Confirmation - Outbound,Testing in Progress,TRUE,GERBER,Beth/Bob,,
,Inventory Feed for SAP (Item) - Outbound,Testing in Progress,TRUE,GERBER,Beth/Bob,,
,"Inventory Adjustments, Receipts (IGL) - Outbound",Testing in Progress,TRUE,GERBER,Beth/Bob,,
,Verified ASN - Outbound,Testing in Progress,TRUE,GERBER,Beth/Bob,,
,SAP Item Daily Import,Testing in Progress,TRUE,GERBER,Beth/Bob,,
,Transfer Orders,In Progress,TRUE,GERBER,Beth/Bob,,
,TP - Vendor,"Passed Connection Testing, Further Testing Required",TRUE,GERBER,Beth/Bob,,
,TP - Customer,"Passed Connection Testing, Further Testing Required",TRUE,GERBER,Beth/Bob,,
Master Data (One-time Uploads),Users,Ready for Go-Live / Complete,TRUE,GERBER,Donna,,
,Trading Partners - Vendor,Ready for Go-Live / Complete,TRUE,GERBER,Donna,,
,Trading Partners - Customer,Ready for Go-Live / Complete,TRUE,GERBER,Donna,,
,Item ST+CQ (Item+Pack),Ready for Go-Live / Complete,TRUE,GERBER,Donna,,
,Item UPCs,Ready for Go-Live / Complete,TRUE,GERBER,Donna,,
,Locations,Ready for Go-Live / Complete,TRUE,GERBER,Donna,,
,Storage Record,Ready for Go-Live / Complete,TRUE,GERBER,Donna,,
,Stock Units,Ready for Go-Live / Complete,TRUE,GERBER,Donna,,
Intradeco,Items / 832,Ready for Go-Live / Complete,TRUE,GERBER,Beth / Zack,,Deposco Setup Complete
,Trading Partners / N/A,Not Applicable,FALSE,GERBER/DEP,,,No longer needed
,Purchase Order / 943,Ready for Go-Live / Complete,TRUE,GERBER / ECOM,Beth / Zack,,Deposco Setup Complete
,Inbound ASN / 943,Testing in Progress,TRUE,GERBER / ECOM,Beth / Zack,,Deposco Setup Complete
,Customer Orders / 940,Testing in Progress,TRUE,GERBER / ECOM,Beth / Zack,,Deposco Setup Complete
