Deposco Configuration Task List,,,,,,,,,,8/12/2025,
Product / Task Group,Task,Task Details,"Out of Scope 
(SOW001)",Phase 2 Item,Comments,Owner,Status,% Complete,Locked,Due date,Delivery Date
Pre-Design Tasks,,,,,,,Complete,,,,
Master Data,Item/Pack Field Mapping and DE template,,FALSE,FALSE,,Deposco,Complete,100%,FALSE,July 17,
Master Data,"Locations, Zones and Storages Field Mapping and DE template",,FALSE,FALSE,,Deposco,Complete,100%,FALSE,July 17,
Master Data,Company Field Mapping and DE template,,FALSE,FALSE,,Deposco,Complete,100%,FALSE,July 25,
Master Data,Trading Partner Field Mapping and DE template,,FALSE,FALSE,,Deposco,Complete,100%,FALSE,July 25,
Master Data,Components Field Mapping and DE,,FALSE,FALSE,,Deposco,Complete,100%,FALSE,July 25,
Master Data,Container Field mapping and DE template,,FALSE,FALSE,,Deposco,Complete,100%,FALSE,July 25,
Master Data,Carton type Field mapping and DE template,,FALSE,FALSE,,Deposco,Complete,100%,FALSE,July 25,
Master Data ,Initial Item and Pack Upload,,FALSE,FALSE,,Omnipress,Complete,100%,FALSE,July 25,
Master Data,Initial Locations/zones/storages data upload,,FALSE,FALSE,,Omnipress,Complete,100%,FALSE,July 25,
Master Data,Initial Company data upload,,FALSE,FALSE,,Omnipress,Complete,100%,FALSE,July 25,
Receiving,"Receiving V2 workflow process SIs (PO, Blind PO) and process validation",,FALSE,FALSE,,Deposco,Complete,100%,FALSE,Jul 25,
Receiving,Receiving V2 workflow process SIs ( RMA receiving) and process validation,,FALSE,FALSE,,Deposco,Complete,100%,FALSE,Jul 25,
Receiving,Unreceiving workflow process SIs and process validation,,FALSE,FALSE,,Deposco,Complete,100%,FALSE,Jul 25,
Returns,Create RMA workflow process SIs and process validation,,FALSE,FALSE,,Deposco,Complete,100%,FALSE,Jul 25,
Putaway,Move item workflow SIs,,FALSE,FALSE,,Deposco,Complete,100%,FALSE,Jul 25,
Kit to Stock,Kit to Stock base configuration and process validation,,FALSE,FALSE,,Deposco,Complete,100%,FALSE,Jul 25,
Cycle Counts,Workflow SIs,,FALSE,FALSE,,Deposco,Complete,100%,FALSE,Jul 25,
Physical Counts,Workflow SIs ,,FALSE,FALSE,,Deposco,Complete,100%,FALSE,Jul 25,
Inventory adjustments,Workflow SIs config and process validation,,FALSE,FALSE,,Deposco,Complete,100%,FALSE,Jul 25,
Warehouse lookup,Workflow SIs config and process validation,,FALSE,FALSE,,Deposco,Complete,100%,FALSE,Jul 25,
OFP,OFP for SLSU,Base Config,FALSE,FALSE,,Deposco,Complete,100%,FALSE,Jul 25,
OFP,OFP for SLMU,Base Config,FALSE,FALSE,,Deposco,Complete,100%,FALSE,Jul 25,
OFP,OFP for MLMU,Base Config,FALSE,FALSE,,Deposco,Complete,100%,FALSE,Jul 25,
OFP,OFP for freight,Base Config,FALSE,FALSE,,Deposco,Complete,100%,FALSE,Jul 25,
Picking,Single Scan picking workflow SIs config and process validation,Base Config,FALSE,FALSE,,Deposco,Complete,100%,FALSE,Jul 25,
Picking,Batch picking workflow SIs config and process validation,Base Config,FALSE,FALSE,,Deposco,Complete,100%,FALSE,Jul 25,
Packing,Pack Order by item workflow SIs config and process validation,,FALSE,FALSE,,Deposco,Complete,100%,FALSE,Jul 25,
Packing,Single Scan Packing workflow SIs config and process validation,,FALSE,FALSE,,Deposco,Complete,100%,FALSE,Jul 25,
Packing,Bulk Packing workflow SIs config and process validation,,FALSE,FALSE,,Deposco,Complete,100%,FALSE,Jul 25,
Packing,Assign trip to container workflow SIs config and process validation,,FALSE,FALSE,,Deposco,Complete,100%,FALSE,Jul 25,
Packing,Repalletize workflow SIs config and process validation,,FALSE,FALSE,,Deposco,Complete,100%,FALSE,Jul 25,
Other,,,,,,,,,,,
Printers,Look into autobagger support/references to connect with Deposco,,FALSE,FALSE,Autobagger has been set up,Omnipress,Complete,100%,FALSE,,
Scale,Shipping scale setup,,FALSE,FALSE,8/7 - Deciding if they need to purchase or not,Omnipress,To-Do,,FALSE,,
Shipping,Look into UPS WorldEase integration,,TRUE,TRUE,"Not supported at this time
Eric looking into other options with UPS",Deposco,Closed,0%,FALSE,,
,,,FALSE,FALSE,,,,,FALSE,,
Warehouse setup,,,,,,,,,,,
Labels,Ensure that all locations are labeled and the barcode is scannable using the handheld,,FALSE,FALSE,,Omnipress,In Progress,50%,FALSE,Aug 15,
Labels,Label all containers/carts/bins/totes,Label all containers that will be used and validate that the barcodes are scannable using the handheld,FALSE,FALSE,,Omnipress,In Progress,50%,FALSE,Aug 15,
Hanheld devices,Procure all hanheld devices ,,FALSE,FALSE,,Omnipress,Complete,100%,FALSE,Aug 15,
Printers,ZPL/PDF Printer setup and validation,Set up and validate all printers that will print Deposco reports,FALSE,FALSE,"8/7 - still need to purchase a couple more printers, label & document printers are setup & working",Omnipress,In Progress,75%,FALSE,Aug 15,
Printer Resources,Printing Resources,Set up printing Resources,FALSE,FALSE,,Omnipress,To-Do,0%,TRUE,Aug 15,
Printer Assignments,Item label,Create item label printer assignments. Report name: Item Label (4X8),FALSE,FALSE,,Omnipress,To-Do,0%,TRUE,Aug 15,
Printer Assignments,Shipping labels,Create shipping label printer assignments,FALSE,FALSE,,Omnipress,To-Do,0%,TRUE,,
Printer Assignments,Packing Slips,Create packing slip printer assignments,FALSE,FALSE,,Omnipress,To-Do,0%,TRUE,,
Hanheld devices,DEP app has been downloaded in hh devices,,FALSE,FALSE,,Omnipress,To-Do,0%,FALSE,,
Bright Warehouse Configuration ,,,,,,,,,,,
Master Data,Image,Upload BU/family logo images for branded label and other reports,FALSE,FALSE,,Omnipress,Complete,100%,FALSE,Aug 15,
Master Data,Zones,Delete zones created during the inital master data upload. Create zones by BU,FALSE,FALSE,"Will not create per BU. Zones created to cover needs based on process involved.
FL: Is the Omnipress team okay with deleting the zones created during the inital upload?",DEP & OMNI,Complete,100%,FALSE,Aug 15,
Master Data,Locations,"Update attributes: Pickable and Reserve flags, cycle counts, set status to Ready, add pick sequence, add Skid location flag,update zone assignment. Add a quarantine location for items that are not available for fulfillment.",FALSE,FALSE,"8/7 - Deposco to update field mapping to skip creation
8/8 - New fieldmapping ready ",DEP & OMNI,In Progress,75%,FALSE,Aug 15,
Master Data,Containers,"Upload container data (carts, bins, totes)",FALSE,FALSE,,Omnipress,In Progress,50%,FALSE,Aug 15,
Master Data,Storages ,"Create and upload Storage data to define the home picking location of items including minimum and maximun quantities at the location. This information will be needed to feed the suggested location logic in the Putaway process, and to create replenishment tasks.",FALSE,FALSE,,Omnipress,To-Do,0%,FALSE,Aug 15,
Master Data ,Items,Generate/extract item identifiers to use as UPCs. This is necessary for users to scan item barcodes for all handheld processes.   ,FALSE,FALSE,8/7 - Fany to add to MDD that Dep will generate a new item UPC when a new item is created,Omnipress,Closed,0%,FALSE,Aug 15,
Master Data,Items,"Update item attributes: UPC, Kit Stock, Kit Order, HS codes, Unit Price (customs value), Purchase Cost (production cost), reorder point. ",FALSE,FALSE,8/11 - New field mapping updated to include reorder point and skip new record creation,DEP & OMNI,To-Do,0%,FALSE,Aug 15,
Master Data,Items,Ensure that labels for all current items are available to scan using Veracore identifier as the UPC,FALSE,FALSE,,DEP & OMNI,To-Do,0%,FALSE,Aug 15,
Master Data,Packs,Generate and upload dimensions and weight data. This is needed for international shipments and for cartonization after phase 1,FALSE,FALSE,,DEP & OMNI,In Progress,50%,FALSE,Aug 15,
