robin,,,,,,,,,,,
,,  CONFIG TASK TRACKER,,,Task Summary,,,,,,
,,,,,Total Count,In Validation,In Progress,Complete,% of Tasks Complete,% of Hours Complete,
,,,,,74,7,4,16,21.62%,13.96%,
,,,,,,,,,,,
#,CATEGORY,SUB CATEGORY,DESCRIPTION,SCOPE,ESTIMATE,PRIORITY,OWNER,STATUS,ETA,NOTES,Congifuration Notes
1,Inbound,LPN Receiving,LPN Number is auto generated based on Deposco Sequence,SIs,1,,Brandon,Complete,,This will be a dedicated LPN Receiving Button. Reach out to others using these SIs based on the SI lookup tool,Completed by using Deposco Sequence and setting container number attribute + prefix
2,Inbound,LPN Receiving,LPN Number is required ,SIs,0.5,,Brandon,Complete,,This will be a dedicated LPN Receiving Button. Reach out to others using these SIs based on the SI lookup tool,Set on the SI
3,Inbound,LPN Receiving,Print LPN Label after stock has been received onto the LPN ,Rules,4,,Brandon,Complete,,"This will be a dedicated LPN Receiving Button. Work with Neovia team to determine best time to print using the ""Receiving"" workflow process","Added rules to Receiving_ReceiveItemScreen-post2

Needed rules as the SI only prints a label list label"
4,Inbound,LPN Receiving,"Configure  4x3 LPN Label:

- Business Unit
- Container #
- Date Received 
- Item # 
- Qty on the LPN
",Report,4,,Sara,Complete,,,"""LPN Label 4x3"" is configured in labelList"
5,Inbound,LPN  Receiving,"Locations for putaway will be only in the ""Receiving Zone""",Query Override,4,,Sara,Complete,,Determine if this is base logic (it most likely is) if it is not then override using the Putaway Query SI in Receiving,"Determine if this is base logic (it most likely is) if it is not then override using the Putaway Query SI in Receiving

Putaway Query SI: SuggestedPutatway"
6,Inbound,LPN Receiving,"Validation to only allow one lot per LPN captured during receiving. This should be an investigation first if this is base, can be handled via configuration, or if rules are needed. If rules are needed scope with Josiah or Brandon before beginning configuration",Rules,1,,Brandon,Hold,,"This is just an investigation/scoping for the requirement.

JIRA ticket created - https://deposco.atlassian.net/browse/PATSUP-16",
7,Inbound,LPN Receiving,Validatio to ensure only one item per lpn ,Rules,2,,Brandon,Complete,,,Completed using rules on Receiving_ReceiveItemScreen-post
8,Inbound,Loose Stock Receiving,This will be a dedicated Loose Stock Receiving Button. Straightforward base configuration. Same putaway as LPN Receiving,Query Override,1,,Sara,Complete,,This is a dedicated Loose Stock Receiving button,"Handheld button: Loose Stock Receiving
Putaway Query SI: SuggestedPutatwayLoose"
9,Inbound,Damages Receiving,"Configure using a dedicated ""Damages Receiving"" button. Rule prop will be needed to mark receiptLine.disposition == ""Damaged"" receiptLine.damaged = ""true""",Rules,4,,Sara,Complete,,"These rules exist in Verst GeneralReceiving_LPNIdentifierScreen-post
but will need to be in a different subcat since these will be received as loose stock.",Rules configured in GeneralReceiving_CreateStock-post
10,Inbound,Damages Receiving,Configure Image capture and save to OrderHeader,Rules,2,,Sara,Complete,,"Rules exist in DRF, HSW 
,  save to orderHeader not orderLine.",Rules configured in GeneralReceiving_IdentifierInputScreen-post
11,Inbound,Returns Receiving,"Configure ""Returns Receiving"" handheld process. Blind RMAs and RMAs are eligible for this workflow. Stock will be received loosely and putaway to locations in the returns zone",Rules,2,,Sara,In Progress,,,
12,Inbound,All receiving,Work with Patterson to get specifications of the Receivng level report that is to be sent after PO is received,Report,4,,Sara,Open,,Scale example,
13,Reporting,Labels,Pallet Label,Report,4,,,,,,
14,Reporting,Labels,Carton Label,Report,4,,,,,,
15,Inventory,Move Container,Generic Move Container Process - base suggestions - detach stock from split case picking,SIs,1,,Brandon,Validation,,,
16,Inventory,Move Item,Generic Move Item Process - base suggestions ,SIs,1,,Brandon,Validation,,,
17,Inventory,Move Stock,Generic Move Stock Process - base suggestions ,SIs,1,,,,,,
18,Inventory,Directed Putaway,Configure and test Directed Putaway Process - same validations need to exist as in Move Container but a different workflow,SIs,4,,Brandon,In Progress,,This is a new process so this must be tested thoroughly. Expect issues and document them appropriately - potentially need tickets for putaway,
19,Inventory,Cycle Counts,Configure Generic Cycle Count Profile by Location for the HKC facility,SIs,1,,,,,Plenty of environments to emulate this with. No need to re-invent the wheel here.,
20,Inventory,Cycle Counts,Configure Generic Cycle Count Profile by Item for the HKC facility,SIs,1,,,,,Plenty of environments to emulate this with. No need to re-invent the wheel here.,
21,Inventory,Cycle Counts,Configure Cylce Count by Location Workflow Process,SIs,2,,,,,Plenty of environments to emulate this with. No need to re-invent the wheel here.,
22,Inventory,Cycle Counts,Configure Cylce Count by Item Workflow Process,SIs,2,,,,,Plenty of environments to emulate this with. No need to re-invent the wheel here.,
23,Inventory,Adjust Inventory,Configure base adjust inventory process.,SIs,2,,,,,Use reason codes defined in the MDD otherwise good to pull from another ENV,
24,Inventory,Replenishments,Configure base storage based replenishment process. Will need to evaluate eligible stockUnit and override query if needed. ,Query Override,4,,Brandon,,,Use MDD for defined eligible stockUnit and replen logic. Many SIs can be re-used from other storage based replen processes.,
